Region,Group,ActivePolicy
EMEA,DSP_CA_ASYNCRPCDISABLE_2010_00,ASYNCRPCDISABLE_2010_00
EMEA,DSP_CA_DOTNET_45_01_MP_01,DOTNET_45_01
EMEA,DSP_CA_IECUSTOMIZATION_15_00_AD_01,IECUSTOMIZATION_15_00
EMEA,DSP_CA_ACROBATREADER_1000_00_MP_02,HF_ACROBATREADER1011_00
EMEA,DSP_CA_ACROBATREADER_1000_00_MP_02,HF_ACROBATREADER1014_02
EMEA,DSP_CA_ACROBATREADER_1000_00_MP_02,ACROBATREADER_1000_00

